Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
Larkos,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,114,"
Gracias a su obra uno se intereso por la lectura, cuantas horas acompañado de Mortadelo y Filemon o Botones Sacarino o Tete Cohete y tantos mas... Nunca olvidare lo feliz que me hiciste en mi juventud.
En PAZ DESCANSE y GRACIAS POR LAS RISAS!!! ",0,2023-07-15 19:05:00
DrDr3,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,115,"
Cuando era un mocoso, en la peluquería de mi madre, había una clienta que se llamaba Isabel, esa señora estuvo hasta que se murió yendo a la peluquería y cada semana me llevaba Rue del Percebe, Mortadelo y Filemón, Rompetechos...este hombre fue una parte importante de la arquitectura de mi infancia, una lástima. ",6,2023-07-15 19:06:00
goLBeRLyyyn,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,116,"
Esta si que jode, DEP ",0,2023-07-15 19:07:00
Hazzard,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,117,"
Que pena, descansa en paz. ",0,2023-07-15 19:08:00
MaTrIx,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,118,"
#112 hostia, esa viñeta la recuerdo xDDD que bueno era este hombre ",0,2023-07-15 19:08:00
Bachoqueto,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,119,"
Descanse en paz, gracias a éste hombre empecé con la afición de leer cómics y representa una gran parte de la infancia de muchos. ",0,2023-07-15 19:12:00
Ninja-Killer,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,120,"
#57 En 2002 le dieron la 'Medalla de Oro al Mérito en las Bellas Artes'. Que no es un premio de una revista semanal precisamente.
Pero vamos, que por mí le deberían de hacer un momento tan grande como el Valle de los Caídos ",2,2023-07-15 19:13:00
E3-NeOz,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,121,"
Crecí con Mortadelo y FIlemon sobre todo , Pepe Gotera y Otilio , el Botones Sacarino...  Una lástima , todo un referente para los niños de la epoca . una tremenda perdida para el mundo del comic/tebeo ",0,2023-07-15 19:16:00
ruben132,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,122,"
Murió mi infancia. DEP Leyenda ",0,2023-07-15 19:17:00
didinahui,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,123,"
DEP ",0,2023-07-15 19:17:00
YokeseS,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,124,"
#31 pues aprovechad ahora que se habran revalorizado y mucha gente buscara sus comics ",0,2023-07-15 19:19:00
alblanesjr,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,125,"
DEP ",0,2023-07-15 19:20:00
meeka,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,126,"
Una verdadera pena. Su legado será eterno con todos sus cómics. ",0,2023-07-15 19:22:00
bioshinra,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,127,"
:/ ",0,2023-07-15 19:23:00
maw1,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,128,"
DEP se va parte de mi infancia/adolescencia
#98 el 70 aniversario es en 2028, veremos.. ",0,2023-07-15 19:24:00
8-cuartos,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,129,"
Una auténtica lástima, horas y horas viendo sus dibujos y leyendo sus chistes, descanse en paz Señor. ",0,2023-07-15 19:26:00
picHuLin,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,130,"
Mi avatar lo dice todo.
Este señor es mi infancia y la de muchos. Es patrimonio nacional. Desde sus historias cortas iniciales hasta las más elaboradas metiéndose en los acontecimientos sociales del momento nunca dejó de sacarme una sonrisa. Con él aprendí expresiones como ipso-facto o palabras como cenutrio. Me fascinaba y me sigue fascinando su capacidad para poner nombre a los personajes: Superintendente Vicente, Profesor Bacterio, Ofelia Michelínez, Agente Telesforo Bestiajez... Como tantos chavales coleccionaba olé y superhumor y me harté a copiar las portadas.
En fin, descanse en paz, y que le vayan haciendo sitio en el museo del Prado junto a Velázquez y Goya ",20,2023-07-15 19:28:00
Luthenis,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,131,"
DEP. La de horas de espera que me entretuve con sus comics. Un grande. ",0,2023-07-15 19:28:00
Riip,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,132,"
Una gran pena, crecí con sus tebeos
Dep ",0,2023-07-15 19:29:00
Kreidmar,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,133,"
Como a muchos otros, este señor es el responsable de la mayor parte de diversión e imaginación como crio, además de iniciarme en la lectura de todo tipo de comics y, más tarde, iniciarme en el mundo del dibujo de comic.
Hoy el mundo se ha vuelto un poco más gris. Descansa allá donde estés, Maestro, te lo tienes ganado. ",0,2023-07-15 19:31:00
Kaiserlau,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,134,"
Dep ",0,2023-07-15 19:33:00
turianova,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,135,"
#17 un grande.. DEP #1 ",0,2023-07-15 19:33:00
Mirtor,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,136,"
Por cierto, no la he encontrado y no sé de qué cómic sale, ¿alguien tiene a mano o recuerda algún dato para localizar uno de mis chistes favoritos, en el que llega, creo que Filemón, a la TIA quejándose porque le ha picado un mosquito-tigre, e inmediatamente llega Mortadelo reventadísimo diciendo que le ha picado un tigre-mosquito? ",5,2023-07-15 19:36:00
Panch,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,137,"
Me parece uno de los mayores artistas q ha dado España, tuve la suerte de pillar su obra desde niño y creo que influyeron bastante en mi desarrollo y educación. Una pena que no se llevó el príncipe de Asturias en vida, descanse en paz. ",0,2023-07-15 19:39:00
Bachoqueto,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,138,"
Https://postimg.cc/z3JSVDKq
Os suena este personaje? Es el único que no soy capaz de identificar xD ",0,2023-07-15 19:42:00
Pakazo,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,139,"
Ahora que está muerto le vendrán los reconocimientos institucionales, cuando han tenido 7 décadas de trayectoria para darle el premio Príncipe de Asturias.
Descanse en paz. ",24,2023-07-15 19:42:00
tsukiyomi,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,140,"
Geniazo, con mortadelo aprendí a leer
Dep, se va un grande ",1,2023-07-15 19:43:00
dantee,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,141,"
Bffff…tengo por casa de mis padres como una montaña de sus tebeos…es parte de mi infancia …
Mis historias favoritas eran las que aún no trabajaban para la T.I.A y las historias eran mucho más cortas ",0,2023-07-15 19:45:00
TripyLSD,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,142,"
Qué bajona. 
Este señor despertó en mi la pasión por dibujar (aunque la abandoné con los años) y el humor tontuno (ese no, ese ha permanecido).
Descansa en paz, maestro. 
Gracias por aportar ese brochazo de humor tan particular, tan sencillo y a la par efectivo, a la vida de tantas personas. ",3,2023-07-15 19:45:00
Uriel246,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,143,"
Menudo putadón, que triste, la de horas que he disfrutado con sus obras. Lo mejor del sábado era ir a comprar los periódicos y revisar el tocho de tebeos a ver si encontraba alguno que no tuviese... Una pena. Descansa en paz.
Me dio mucho coraje cuando hace algunos años fracasó la iniciativa para que le diesen el príncipe de Asturias, ahora cuando ha fallecido le lloverá mas de un premio, pero ya será tarde... ",0,2023-07-15 19:51:00
bicho0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,144,"
 ",37,2023-07-15 19:56:00
Yukinary,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,145,"
Dep se va un grande que ha sido parte de la infancia y no tan infancia de muchos. ",0,2023-07-15 20:00:00
ErChuache,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,146,"
RIP.
Como a muchos de los que estamos aquí, es parte de mi infancia.
Tengo por ahí bastantes tomos de su versión más ""premium"" de ¿Bruguera? de Super Humor de tapa dura y lomo rojo que venían 5 historias principales + las historias secundarias de cada ""historia principal.

Luego aparte tengo la versión que ""regalaba"" El Mundo de Mortadelo y Filemón de historietistas.

Un grande. Descanse en paz.
EDITO: #147 No, no eras el único compañero XD ",2,2023-07-15 20:05:00
Bachoqueto,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,147,"
Otro buen recuerdo de infancia es el de estar con mi primo intentando encontrar detalles graciosos en las viñetas, que siempre estaban llenas. Seguro que lo hemos hecho más de uno xD ",1,2023-07-15 20:05:00
JackRed,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,148,"
se ha muerto una parte de mi infancia. Que descanse en paz. Gracias por todo lo que nos distes. ",0,2023-07-15 20:06:00
ArthurMorgan,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,149,"
Creo que ha muerto una parte de nosotros, es innegable la huella que ha dejado en el mundo del comic. DEP. ",0,2023-07-15 20:11:00
Firelord,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,150,"
Joder. Vaya noticia. DEP
El más grande. ",0,2023-07-15 20:14:00
Kaledros,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,151,"
Se merece un funeral de estado. No estoy bromeando, es uno de los artistas más importantes de la historia de este país. ",34,2023-07-15 20:20:00
chiptune,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,152,"
 ",58,2023-07-15 20:22:00
sephirox,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,153,"
. ",0,2023-07-15 20:24:00
Petterrr,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,154,"
Un trozo de mi infancia acaba de irse
DEP ",0,2023-07-15 20:29:00
Crane,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,155,"
Joder que bajón....
DEP. Sus obras me dieron grandes momentos y para mí son leyenda de este país. ",0,2023-07-15 20:34:00
flipas23,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,156,"
Super López nunca me gustó. En cambio Mortadelo y Filemón, al igual que algunos otros personajes una maravilla... pero quiero reivindicar 13 Fue del Percebe. Era increíble como el mismo edificio en todas las páginas podía variar tanto en lo que contaba sin hacerse repetitivo. ",1,2023-07-15 20:34:00
benjajim,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,157,"
DEP
Al señor Ibáñez si que habría que darle una despedida de Estado pero claro la cultura no interesa en Españita ",3,2023-07-15 20:36:00
Bachoqueto,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,158,"
#17 El único que no consigo averiguar que personaje es es ese de la derecha de mortadelo, con la nariz respingona y los ojos tapados. ¿Alguien me ilumina? ",0,2023-07-15 20:36:00
ArthurMorgan,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,159,"
#156 Creo que la serie aqui no hay quien viva se inspiro en ella ",0,2023-07-15 20:36:00
AnGeL-eme,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,160,"
DEP, que grandes momentos he pasado mirando los tebeos... tuve miles. ",0,2023-07-15 20:42:00
Shaka,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,161,"
Mi abuelo tenía un puesto de chuches libros y cómics en Sevilla al lado de la plaza de toros y los vendía muchísimo. Me regalaba muchos y me traía los super humor. Cuando cerró me lleve unos cuantos.
Marcaron mi infancia y me hicieron reír durante horas y horas. Muchísimas gracias por tu obra Maestro !!!!
DEP ",6,2023-07-15 20:42:00
Vandalus,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,162,"
DEP
quien no ha leido esto de crio ",0,2023-07-15 20:43:00
BaRtoZ,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,163,"
Pues me da mucha pena la verdad, estuve ingresado bastante tiempo y me traían comics de mortadelo y filemón que me salvaban las tardes tan largas.
DEP ",2,2023-07-15 20:45:00
Fwend,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,164,"
Horas y horas y horas leyendo sus cómics, siempre con un monton de Mortadelos en el baño que iban rotando según me apetecía tras leerme cada uno 20 o 30 veces. Sin duda el artista que más ha marcado mi infancia, muchísimos buenos recuerdos gracias a sus historias y aventuras. Gracias maestro. ",1,2023-07-15 20:45:00
Aeron,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,165,"
RIP, fue un grande ",0,2023-07-15 20:46:00
30crysis,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,166,"
DEP.
Era majísimo en las firmas y sus comics nos han marcado a muchos  ",0,2023-07-15 20:56:00
NoFiSoX,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,167,"
Hoy toca leerse un Super Humor.
Gracias maestro por toda una vida dedicada a hacernos felices aunque solo fuese un rato.
Descansa en paz. ",0,2023-07-15 20:57:00
LucianESP,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,168,"
Pese a no entusiasmarme, es una gran perdida para el mundillo y quien diga que no, está bobo de la cebeza. Se ha ido un grande.
Grande Ibáñez, DEP ",0,2023-07-15 21:00:00
Mogudan,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,169,"
Legenda desde 1958

 ",13,2023-07-15 21:01:00
arnaupool,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,170,"
La de horas que me habré pasado leyendo sus cómics, la de dinero que habré hecho gastarse a mis padres a lo largo de los años... Lo conocí en la feria del cómic siendo un crío, me puse de los primeros de la fila para que me firmara.
Me cago en dios, tío. Lo he sentido en el pecho cuando lo he leído.
Que la tierra te sea leve, grande. ",0,2023-07-15 21:02:00
PAC-MAN,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,171,"
jode.... DEP
un historico de este pais. ",0,2023-07-15 21:04:00
EuRyNomE,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,172,"
No sé cuántos Super Humor tuve de pequeño y cuántos cientos de horas pasé leyendo y descojonándome.
Muchas gracias por todo Francisco, descanse en paz allá dónde esté. ",0,2023-07-15 21:06:00
Netzach,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,173,"
Yo nunca fui fan pero se va una de las personas más influyentes en la historia de la cultura española.
DEP ",0,2023-07-15 21:08:00
Carcinoma,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,174,"

De lo más top que podía caerte en los dibus del sábado por la mañana. Ya por entonces sabías que era ""cutrillo"" en comparación con las japos y americanas, pero entraban de putísima madre. ",5,2023-07-15 21:19:00
Turamb0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,175,"
Tengo todos los cómics tan tan releídos que mi hermano y yo (sobre todo yo) nos inventábamos nuevas formas de leerlos, tipo:
Leer solo la viñeta inferior derecha de cada página de la derecha.
Igual pero con otras esquinas.
Buscar páginas donde nadie se llevaba una ostia o una explosión (lo cual era difícil).
Qué gran época. ",3,2023-07-15 21:32:00
DiSKuN,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,176,"
Joder, un grande. Pueden ser los cómics que más haya leído.
Y una peli de dibujos viejuna que viajaban en el tiempo en un armario, creo que gasté la cinta VHS de tanto ponerla
Muy fan también de Rompetechos y 13 Rue del Percebe ",0,2023-07-15 21:43:00
NoobInNs,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,177,"
Cuando en los periódicos se le da más importancia a las noticias de las elecciones que a la muerte de una persona tan importante en la infancia de tantas generaciones, define perfectamente cuán en la mierda estamos en los medios de comunicación. 
Lo más triste es que no recibirá el homenaje tan grande que se merece por todo su trabajo y humildad. ",16,2023-07-15 21:49:00
tute07011988,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,178,"
DEP, de pequeño me encantaba durante un tiempo leer los cómics que tenía mi padre de Mortadelo y luego me compré alguno, aunque no tardé mucho en abandonar la afición. La serie de A3 me la zampé enterita. ",0,2023-07-15 21:54:00
neeru,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,179,"
#174 feels desbloqueados cabron, que recuerdos esas mañanas.... ",0,2023-07-15 21:59:00
quickkk,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,180,"
DEP genio ",0,2023-07-15 22:05:00
StukoVRusso,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,181,"
DEP, no me pasé horas leyendo los cómics de peque, que lástima. ",0,2023-07-15 22:06:00
tute07011988,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,182,"
 ",41,2023-07-15 22:08:00
KaSe,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,183,"
#66 si, vete buscando garaje para el lambo ",0,2023-07-15 22:22:00
Prava,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,184,"
Para mi lo mejor de los cómics era como en cada trastada que hacía Mortadelo siempre había alguien con un hacha, escopeta, martillo o similar buscándolo y él (a veces con Filemón) escondido como podía.
Joder, muchos, muchos cómics llegué a tener de este GENIO.
DEP. Deberían poner estatuas de este referente, y calles en su nombre. ",2,2023-07-15 22:24:00
pakuko,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,185,"
DEP
Gracias por alegrarnos la infancia ",0,2023-07-15 22:35:00
odiazon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,186,"
#12Fudan:Joder, ahí se va el creador de una importante parte de mi infancia. Una infancia sana donde aprendías un rico vocabulario y humor sano, no como ahora que todo es seguir retards en redes sociales y ver quién es más popular haciendo gilipolleces improductivas
Lo dices como si en tu época los adultos no demonizasen los cómics como los causantes de la rebeldía y de los comportamientos violentos, a día de hoy la gente sigue leyendo comics ",0,2023-07-15 22:48:00
aren-pulid0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,187,"
DEP ",0,2023-07-15 23:02:00
Kreidmar,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,188,"
Una pequeña parte de mi colección, viejuna como yo. 
 ",15,2023-07-15 23:13:00
Prava,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,189,"

Bonito homenaje de MARCA.
#186 Depende. Mi padre era un ávido lector de cómics cuando era un chaval... a mi nunca me dio por ahí, pero sí por tebeos. ",29,2023-07-15 23:23:00
CaraLimon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,190,"
Están echando la peli por la 2.
Dep. ",1,2023-07-15 23:31:00
Aur0n,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,191,"
Gracias por una infancia de lujo leyendo Mortadelos allá donde fuese. Dep ",0,2023-07-15 23:39:00
ShOwTiMe1g,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,192,"
 ",18,2023-07-15 23:47:00
Vhsephi,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,193,"
#186 los españoles no... demoniazaban el manga y el anime XD
Ah, y los videojuegos.
#190 pues en homenaje ya podrían echar la que hicieron en Estudios Vara (Que se proyectó originalmente como una película). ",0,2023-07-15 23:57:00
13malkavians,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,194,"
Pues ya esta, esto ha matado completamente mi infancia
No volverá a existir otro igual o mejor
Gracias Ibañez ",0,2023-07-16 00:00:00
bewareo,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,195,"
Un GRANDE que nos inculcó a muchos el hábito por la lectura, y un currante, que todavía iba publicando tebeos y me consta que en las ferias no se iba de su caseta hasta que el último de la cola no tuviera su tebeo con Mortadelo disfrazado dedicado. DEP.
Pongo un TOP 10 de los álbumes que recuerdo con más cariño (aunque igual me olvido alguno):
Mundial 78
La máquina del cambiazo
Contra el ""gang"" del ""Chicharrón""
El sulfato atómico
Los monstruos
El ascenso
El tirano
Valor y... ¡al toro!
El antídoto
¡Silencio, se rueda! ",8,2023-07-16 00:03:00
palickpre,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,196,"
#195 A mi uno que me encantaba era ""pesadilla"", una parodia de freddy krueger. Me partía de risa con ese comic ",8,2023-07-16 00:04:00
bewareo,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,197,"
#196 Hostia, recuerdo desbloqueado! Se me olvidó totalmente esa historieta y era un descojone. xDD
 ",12,2023-07-16 00:08:00
ClaudeS,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,198,"
#193 Mírate mi comentario en #92. ",1,2023-07-16 00:08:00
Alien_crrpt,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,199,"
D.E.P.
La de veces que me descojonaba y venían mis padres a ver que coño me pasaba. Que porque me reía como un loco. Ningún libro, serie o película me hizo descojonarme tanto como sus comic de Mortadelo y Filemón. ",0,2023-07-16 00:11:00
OuTLine,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,200,"
Descanse en paz. Una vez al año me venia a la cabeza el hecho de que ibañez era muy mayor… el dia tuvo que llegar… vaya mierda… yo creo q mi primer mortadelo fue la estatua de la libertad o gatolandia 76. Tendre unos 60 o mas de los que eran individuales con la portada en relieve y como 25-30 de los super humor que venian 5 historietas… q lastima joder ",2,2023-07-16 01:07:00
Fudan,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,201,"
#186 pues chico, no sé, dependerá de la zona/familia porque en mi puta he vida he conocido a nadie de mi entorno que demonizara cómics como Mortadelo y Filemón, Asterix, Superlópez o Zipi y Zape por poner algunos, más bien al revés: ""menos consolita y más leer"" me decían. ",0,2023-07-16 01:29:00
TheDamien,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,202,"
DEP, me acuerdo de pequeñito leyendolo en el peluquero ",0,2023-07-16 01:32:00
gabigoxi,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,203,"
Gracias por alegrarme la infancia hoy mirando cual es el ultimo cómic suyo, es uno que sale en septiembre. En preventa lo he pillado en su honor! ",0,2023-07-16 01:36:00
analfabruto,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,204,"
DEP
 ",16,2023-07-16 01:46:00
odiazon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,205,"
#189 es que no hablo de tu padre, que él si creció con ello, hablo del padre de tu padre.
Mi padre también creció entre comics, pues era lo más normal en esa época para entretenerse, hablo de su padre, por poner un ejemplo, igual que la mayoría de padres de personas que tienen treinta años o + veían los videojuegos como algo malo y poco atractivo e interesante.
Mira si está el nivel alto, que no tiene nada que ver con un individuo porque puede ser la excepción, Macron con 45 tacos, no es tampoco un tiranosaurio, y culpando a los videojuegos del tema de Francia, para que veas, y los cómics ya no se critican porque no son pop, tienen un gran mercado pero los poderes ya no centra su objetivo en ellos, ahora son las series y los videojuegos.
Aunque igual yo soy también un dinosaurio por pensar que el drill, que a mi me gusta musicalmente, el sonido electrónico del trap, de hecho me encantan los sonidos británicos desde que soy muy joven, me encanta en general toda la música electrónica de UK (el drill es americano originalmente, pero el sonido que está siendo más usado a nivel popular es el desarrollado en uk), pues igual soy un dinosaurio por decir que gran parte de ese libertinaje, incluso de la violencia en el país tiene que ver con la cultura de las letras de esa música, el hecho de que los jóvenes vean a los demás decir que van a matar y que hacen lo que les da la gana, son personas reales que narran sus vidas, no son videojuegos de ficción, pues igual soy dinosaurio por pensar eso y no me estoy enterando.
Igual que también pienso que el reggaeton incita a la promiscuidad, a la traición, a que las mujeres se crean princesas y historias de esas, de hecho pienso que esa música está siendo usada para controlar a la gente realmente, para meterles mierda en la cabeza, igual que también creo que un discurso musical combativo puede encender a la gente y que por eso interesa silenciarlo, e incluso levantarlo en determinado momento desde los mismos poderes, pero no considero que los juegos puedan hacer eso porque hay muy pocos juegos con tiente político y todo suele girar entorno a la fantasía, mundos que no existen, sabes que no haces eso porque no es real lo que ves, igual que tampoco creo que el rock n roll hiciese a la gente ser poseída por el demonio ni hacer cosas malvadas, seguramente los liberaba, los hacía más libres de una sociedad más arcaica, pero no lo considero un peligro, ni tampoco considero que los comics generasen violencia, pero es lo que se decía en esa época.
Obviamente que Mortadelo y Filemón eran soft dentro de esto, como bien dices, se demonizaba más lo americano, como marvel. ",1,2023-07-16 01:56:00
odiazon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,206,"
#201Fudan:pues chico, no sé, dependerá de la zona/familia porque en mi puta he vida he conocido a nadie de mi entorno que demonizara cómics como Mortadelo y Filemón, Asterix, Superlópez o Zipi y Zape por poner algunos, más bien al revés: ""menos consolita y más leer"" me decían.
Normal, es muy probable que esas personas ya no estén en este mundo, imagínate, si el demonizado acaba de morir el demonizador igual murió hace 20 o 30 años. ",0,2023-07-16 01:57:00
SmOg,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,207,"
DEP, conservo 34 tomos de principios de los 80 de super humor, recuerdo devorarlos cada noche cuando era un crio. Tanto él como escobar marcaron mi infancia. ",0,2023-07-16 02:05:00
Arnius-Fox,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,208,"
Una lastima DEP. ",0,2023-07-16 02:07:00
jacare,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,209,"
F
#56 + 5000000000 manitas, te quiero ",2,2023-07-16 02:12:00
Rhanok,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,210,"
DEP ",0,2023-07-16 02:29:00
Syuk,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,211,"
 ",61,2023-07-16 02:59:00
