Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
ChaRliFuM,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,31,"
Buff qué recuerdos de la infancia. Yo creo que del 2000 hacia atrás tenía prácticamente TODOS. Tendré que mirar en casa de mis abuelos a ver...
DEP. ",2,2023-07-15 16:56:00
sagem9,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,32,"
Se va un grande. DEP ",0,2023-07-15 16:57:00
Tintintopete,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,33,"
El Sulfato Atómico, El profeta Jeremías, Valor y al toro, Clínicas Antibirria...joder si puedo tener como 100 mortadelos en casa. De crío dice mi madre que hablaba con los mortadelos, diciendo cáspita, rayos, sapristi...si en catequesis llamaron la atención a mis padres porque le puse a Jesucristo la nariz de mortadelo. Es como si se hubiera muerto una parte de mi, es dificil de explicar para alguien que no le gustasen sus tebeos. ",15,2023-07-15 16:57:00
nosoyunclon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,34,"
Aprendí a leer con un Mortadelo en las manos, primero mirando los dibujos y poco a poco leyendo las viñetas
Descanse en paz, leyenda ",9,2023-07-15 16:59:00
Slade_Wilson,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,35,"
DEP maestro. Hoy se va un grande ",1,2023-07-15 16:59:00
heyjoe,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,36,"
DEP, se ha muerto una parte de mi infancia ",0,2023-07-15 17:00:00
MustangZaba,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,37,"
Hace semanas pasé por una librería y me encontré el comic que hizo del mundial de Qatar, me pareció impresionante seguir dibujando a tan avanzada edad
Leyenda ",2,2023-07-15 17:01:00
NoRelaX,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,38,"
Se va una parte grande de mi infancia. DEP ",0,2023-07-15 17:01:00
Damnedlove,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,39,"
Como muchos de aqui, tenia montañas de comics (tebeos!!), comics era para los superheroes  , montañas de tebeos en casa de mortadelo y filemon, zipi zape, 13 rue del percebe, los recuerdo en formato reducido, y luego en formato mas grande que igualmente me los leia en dos tardes, literalmente devoraba todo eso.
De hecho el devorar tan rapido el contenido de Ibañez, mi padre hasta los oo me apunto a la biblioteca municipal y me iba todos los findes y me sacaba dos tebeos de los grandes de Mortadelo y Filemon o de Zipi Zape... poco a poco los fui sustituyendo por comics de Spiderman, Capitan America etc... (tambien de la biblioteca)
Como 20 años mas tarde un dia en casa de mis padres vi una vieja recopilacion que tenia de los mundiales de futbol de MyF, y me dio la vena y me buscaba por internet los tebeos para descargarlos...
RIP ",0,2023-07-15 17:03:00
zeN2k6,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,40,"
Se va una gran parte de mi infancia. 
DEP maestro. ",0,2023-07-15 17:03:00
ShOwTiMe1g,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,41,"
Jobaa se va un grande de este país, gracias por darnos tantas sonrísas de peque
Te echaremos mucho de menos  ",0,2023-07-15 17:04:00
DormiloN,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,42,"
Descanse en paz, maestro ",0,2023-07-15 17:06:00
Asgaya,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,43,"
Buf, menudo bajón. ",0,2023-07-15 17:06:00
palickpre,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,44,"
No tio, no 
DEP maestro, gracias por todas esas tardes leyendo tus comics y esas incontables horas de risas
#34 literalmente, la primera frase que lei fue de un comic de mortadelo mientras estaba esperando a que me diesen el alta del hospital
""trucha al escachufle, con salsa de..."" ",1,2023-07-15 17:08:00
Sonjohn,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,45,"
Duele mucho, DEP. ",0,2023-07-15 17:09:00
KBooM,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,46,"
Tremenda patada esta noticia. Fácilmente la muerte de la niñez ",0,2023-07-15 17:11:00
Kike_Knoxvil,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,47,"
No solo comics. Los videojuegos de Mortadelo los recuerdo con muchisimo cariño.
Nos deja un grande. Que la tierra le sea leve ",0,2023-07-15 17:12:00
denimH,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,48,"
Se va un tio enorme, me encantaba 13 rue del percebe para echar un buen rato antes de irme a dormir.
DEP ",1,2023-07-15 17:13:00
Leoshito,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,49,"
DEP, si bien los cómics eran la hostia y tengo muy buenos recuerdos de ellos, los juegos de ordenador point&click y la serie de televisión también se merecen una gran mención.
Fuerza a la familia en estos días. ",5,2023-07-15 17:14:00
Salcort,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,50,"
Ningun comic me ha hecho reir como Mortadelo y Filemon. Se va un grande! Descansa en paz genio. ",0,2023-07-15 17:15:00
palickpre,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,51,"
#49 filemon fue doblado por carlos revilla. Joder que tiempos ",0,2023-07-15 17:15:00
Arararagi,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,52,"
Se ha ido un auténtico GRANDE de este país, que la tierra te sea leve. ",0,2023-07-15 17:15:00
suggus,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,53,"
Gracias por todo artista. Te llevas un pedazo de historia de España contigo. ",0,2023-07-15 17:18:00
